gi_no,categories
283241,게임개발(클라이언트)
283240,모델링
283239,게임개발(클라이언트)
283082,원화
282931,모델링
283256,애니메이션;이펙트·FX
283257,이펙트·FX
283483,모델링
284248,게임기획
283753,게임개발(클라이언트);게임개발(모바일);게임기획;서버;네트워크
284198,QA·테스터
284245,QA·테스터
283446,인터페이스 디자인
284049,모델링
284102,애니메이션
284237,인터페이스 디자인;플랫폼 디자인;BX·브랜드 디자인;플랫폼 기획
284227,QA·테스터
284223,게임개발(클라이언트);플랫폼 개발
282348,재무;회계
242587,게임개발(클라이언트);모델링;애니메이션;이펙트·FX;게임기획
242585,게임개발(클라이언트);모델링;애니메이션;이펙트·FX;게임기획
242584,게임개발(클라이언트);모델링;애니메이션;이펙트·FX;게임기획
242612,게임개발(클라이언트);모델링;애니메이션;이펙트·FX;게임기획
246514,게임개발(클라이언트);애니메이션;이펙트·FX;게임기획;서버
284219,게임기획;마케팅
283588,게임운영;해외 마케팅;번역
283467,게임운영;해외 마케팅;번역
283291,인터페이스 디자인;게임기획
283292,모델링;애니메이션;이펙트·FX
283290,원화;애니메이션;게임기획
283282,게임개발(모바일);원화;영상제작·편집;마케팅;사무·회계
284080,원화
284211,게임개발(클라이언트);게임개발(모바일);서버
284103,게임기획
284195,게임기획
282951,번역
284205,번역
284141,게임개발(클라이언트);게임개발(모바일);서버
283549,게임개발(모바일);게임기획
283187,게임개발(모바일);인터페이스 디자인;애니메이션
283548,게임개발(모바일);게임기획
283183,게임개발(모바일);인터페이스 디자인;원화
283182,게임개발(모바일);인터페이스 디자인;원화;애니메이션
283148,게임개발(모바일);게임기획
283916,인터페이스 디자인;원화;모델링
284126,게임기획;사업기획(국내);사업기획(해외);사업관리
284149,인터페이스 디자인;모델링;애니메이션;이펙트·FX;플랫폼 디자인
284150,인터페이스 디자인;모델링;애니메이션;이펙트·FX;플랫폼 디자인
284155,사업기획(해외);홍보;퍼블리싱;소싱/라이선싱;채널링
283310,게임기획
284164,게임개발(클라이언트);모델링;애니메이션;이펙트·FX;게임기획
284163,게임개발(클라이언트);모델링;애니메이션;이펙트·FX;게임기획
284161,게임개발(클라이언트);모델링;애니메이션;이펙트·FX;게임기획
283045,시스템·DB;클라우드
283220,게임기획
283219,게임기획
283375,인터페이스 디자인;원화;모델링
284160,원화;모델링;엔진
284158,원화;모델링;엔진
284152,원화;모델링;BX·브랜드 디자인
284148,인터페이스 디자인;원화;모델링
284144,정보·빅데이터 분석;리서치;번역
284166,게임개발(클라이언트);게임개발(모바일);인터페이스 디자인;게임기획;게임운영
284139,인터페이스 디자인;원화;BX·브랜드 디자인
282331,마케팅;홍보;해외 마케팅;번역
282330,마케팅;홍보;해외 마케팅;번역
282327,인사
282325,플랫폼 개발
282324,플랫폼 개발;서버
282323,게임개발(클라이언트);게임개발(모바일);플랫폼 개발;서버
282322,네트워크
282332,마케팅;홍보;해외 마케팅;번역
282296,원화;모델링;애니메이션;이펙트·FX
282295,원화;모델링;애니메이션;이펙트·FX
282291,원화;모델링;애니메이션;이펙트·FX
282290,원화;모델링;애니메이션;이펙트·FX
282288,원화;모델링;애니메이션;이펙트·FX
282287,원화;모델링;애니메이션;이펙트·FX
282286,원화;모델링;애니메이션;이펙트·FX
282338,영상제작·편집;BX·브랜드 디자인;마케팅;광고기획
282301,경영분석;마케팅;해외 마케팅;광고기획
282300,경영분석;마케팅;홍보;해외 마케팅;광고기획
